Date,max_temperaturef,mean_temperaturef,min_temperaturef,max_dew_pointf,meandew_pointf,min_dewpointf,max_humidity,mean_humidity,min_humidity,max_sea_level_pressurein,mean_sea_level_pressurein,min_sea_level_pressurein,max_visibilitymiles,mean_visibilitymiles,min_visibilitymiles,max_wind_speedmph,mean_wind_speedmph,max_gust_speedmph,precipitationin,cloudcover,events,winddirdegrees,location
1/1/2015,30,21,11,20,13,3,80,71,61,30.22,30,29.87,10,10,8,20,10,26,T,6,Snow,281,MSP
1/2/2015,28,17,6,20,10,-1,76,63,49,30.27,30.18,29.99,10,10,10,16,7,19,0,6,,174,MSP
1/3/2015,33,23,12,23,16,3,88,76,63,30.13,29.96,29.85,10,6,1,29,13,35,T,7,Snow,336,MSP
1/4/2015,12,3,-7,3,-11,-16,73,62,51,30.61,30.42,30.09,10,10,10,26,16,34,0,4,,309,MSP
1/5/2015,1,-5,-11,-4,-12,-19,83,71,58,30.65,30.48,30.33,10,7,1,15,7,19,0.06,5,Snow,187,MSP
1/6/2015,8,2,-5,-2,-7,-13,91,72,53,30.65,30.44,30.28,10,10,2,28,13,36,0,3,,276,MSP
1/7/2015,-1,-5,-9,-11,-15,-20,75,63,51,31,30.82,30.56,10,10,10,26,14,34,0,1,,280,MSP
1/8/2015,16,5,-6,11,1,-13,84,72,60,30.51,29.89,29.64,10,4,0,31,16,42,0.15,7,Fog-Snow,246,MSP
1/9/2015,6,1,-4,-6,-9,-12,75,67,59,30.41,30.34,30.17,10,10,6,29,14,35,0,2,,270,MSP
1/10/2015,19,8,-4,7,-2,-9,88,72,56,30.34,30.18,30.04,10,10,8,12,5,17,0,4,,212,MSP
1/11/2015,14,9,3,5,2,-2,87,70,53,30.48,30.32,30.21,10,8,1,12,5,19,T,7,Snow,335,MSP
1/12/2015,5,0,-5,-2,-8,-11,87,71,54,30.87,30.76,30.5,10,10,9,17,7,23,0,0,,348,MSP
1/13/2015,15,3,-10,10,-3,-14,83,71,58,30.86,30.61,30.31,10,8,2,14,7,18,0.02,3,Snow,175,MSP
1/14/2015,24,20,15,18,13,10,81,73,65,30.33,30.21,30.04,9,7,2,12,7,16,0.01,7,Snow,219,MSP
1/15/2015,35,27,19,27,21,17,85,75,64,30.09,30.01,29.94,10,9,7,22,8,26,0,5,,248,MSP
1/16/2015,30,29,27,25,22,18,92,80,68,30.09,29.97,29.73,10,9,5,20,11,25,0,7,,98,MSP
1/17/2015,38,32,26,30,26,23,92,81,70,29.69,29.6,29.52,10,8,3,25,10,33,0,7,,244,MSP
1/18/2015,39,32,25,27,24,22,85,72,59,30,29.88,29.69,10,10,7,14,7,20,0,3,,270,MSP
1/19/2015,37,30,22,30,26,21,96,86,75,30.01,29.89,29.81,10,8,3,16,8,21,0.01,7,Rain-Snow,103,MSP
1/20/2015,32,30,28,29,26,24,92,85,78,30.01,29.96,29.83,6,4,2,12,7,17,0.05,8,Snow,55,MSP
1/21/2015,30,28,26,25,22,19,92,81,69,30.35,30.18,29.98,10,8,3,15,8,20,0.01,8,Snow,339,MSP
1/22/2015,30,24,18,23,18,10,84,73,62,30.46,30.35,30.21,10,10,7,15,9,22,0,6,,226,MSP
1/23/2015,39,34,29,28,24,21,85,72,59,30.18,29.95,29.83,10,10,5,16,9,23,0,4,,229,MSP
1/24/2015,42,36,29,31,29,27,92,79,65,29.81,29.7,29.58,10,8,5,15,5,19,T,6,,235,MSP
1/25/2015,35,28,20,31,19,10,85,68,50,30.12,29.94,29.69,10,9,2,20,10,26,0.03,6,Snow,37,MSP
1/26/2015,45,34,22,32,26,16,85,74,62,30.01,29.85,29.7,10,10,9,20,10,23,T,8,,248,MSP
1/27/2015,36,33,30,27,25,24,85,77,69,30.21,30.16,30.03,10,10,10,15,7,20,0,8,,107,MSP
1/28/2015,31,30,28,29,26,24,92,85,78,30.14,29.94,29.81,10,5,2,18,11,24,T,8,,119,MSP
1/29/2015,34,25,15,30,19,5,92,74,55,30.6,30.24,29.91,10,9,4,26,17,35,T,6,,317,MSP
1/30/2015,27,19,11,19,11,3,81,68,55,30.61,30.44,30.19,10,10,10,14,7,19,0,3,,173,MSP
1/31/2015,28,24,19,22,17,8,92,74,55,30.25,30.21,30.13,10,9,7,21,8,30,0,7,,34,MSP
2/1/2015,21,13,5,10,2,-10,80,63,45,30.32,30.26,30.18,10,7,2,23,15,29,0.02,6,Snow,24,MSP
2/2/2015,16,8,0,2,-5,-11,75,58,40,30.31,30.19,30.05,10,10,10,14,7,20,0,4,,224,MSP
2/3/2015,16,11,6,12,8,1,88,75,61,30.14,30.07,30.02,10,5,0,10,2,18,0.06,7,Fog-Snow,325,MSP
2/4/2015,15,7,-1,9,2,-6,84,69,53,30.5,30.32,30.1,10,8,2,24,11,33,0.01,3,Snow,303,MSP
2/5/2015,19,6,-7,7,0,-10,82,68,54,30.49,30.27,30.13,10,10,9,25,9,32,0,2,,192,MSP
2/6/2015,30,22,13,17,13,7,80,69,58,30.13,30.01,29.84,10,9,7,12,7,16,0,6,,122,MSP
2/7/2015,36,28,20,26,22,15,84,74,64,29.84,29.68,29.58,8,6,4,17,8,20,0,6,,106,MSP
2/8/2015,32,28,23,25,20,15,78,71,63,30.21,29.97,29.69,10,9,5,16,10,24,0,7,,14,MSP
2/9/2015,33,27,20,16,15,14,77,63,49,30.34,30.28,30.21,10,10,10,10,6,19,0,4,,51,MSP
2/10/2015,29,26,22,26,20,15,92,80,68,30.25,30,29.87,10,5,0,23,10,31,0.13,8,Rain-Snow,136,MSP
2/11/2015,30,16,2,26,7,-7,92,74,56,30.54,30.26,29.98,10,9,2,31,19,37,0.01,5,Snow,305,MSP
2/12/2015,10,4,-3,-1,-6,-10,79,67,55,30.72,30.56,30.27,10,10,10,24,7,31,0,4,,322,MSP
2/13/2015,30,18,6,18,10,1,80,70,59,30.29,30.1,29.95,10,10,5,23,12,31,T,6,Snow,255,MSP
2/14/2015,12,5,-3,1,-12,-15,69,57,44,30.68,30.49,30.12,10,10,10,31,15,42,0,2,,351,MSP
2/15/2015,9,5,0,-2,-9,-15,65,57,49,30.69,30.54,30.36,10,10,9,15,9,19,T,8,,128,MSP
2/16/2015,20,14,8,12,6,-1,80,70,59,30.33,30.13,30,10,7,3,20,9,26,0.01,8,Snow,219,MSP
2/17/2015,10,4,-2,2,-4,-12,79,67,55,30.1,30.03,29.9,10,9,2,25,15,32,T,5,Snow,302,MSP
2/18/2015,2,-3,-9,-12,-15,-19,72,61,49,30.43,30.28,30.01,10,10,10,23,15,28,0,3,,314,MSP
2/19/2015,9,-1,-11,-5,-12,-17,72,59,45,30.49,30.38,30.2,10,10,10,13,6,16,0,2,,211,MSP
2/20/2015,25,15,5,18,8,-4,88,74,60,30.17,29.92,29.79,10,6,1,18,7,24,0.07,8,Snow,159,MSP
2/21/2015,24,12,0,18,6,-11,84,69,53,30.44,30.11,29.89,10,8,2,22,13,27,0.01,6,Snow,325,MSP
2/22/2015,0,-4,-9,-12,-16,-19,65,58,51,30.86,30.71,30.47,10,10,10,21,13,26,0,0,,311,MSP
2/23/2015,23,6,-11,4,-7,-20,78,59,39,30.86,30.4,29.82,10,10,7,23,11,34,0,4,,219,MSP
